FiscalYear,Town,Admissions,Unduplicated Clients,TownGeo
2016,Sharon,50,28,"Sharon, CT
(41.87943, -73.478873)"
2016,East Hampton,73,40,"East Hampton, CT
(41.575581, -72.502526)"
2016,Killingworth,18,15,"Killingworth, CT
(41.357274, -72.554824)"
2015,Suffield,21,16,"Suffield, CT
(41.983549, -72.663124)"
2013,Salisbury,10,9,"Salisbury, CT
(41.983411, -73.422268)"
2015,East Hampton,71,44,"East Hampton, CT
(41.575581, -72.502526)"
2014,Tolland,30,20,"Tolland, CT
(41.872445, -72.369671)"
2015,Manchester,388,229,"Manchester, CT
(41.770668, -72.520868)"
2015,Middlebury,43,24,"Middlebury, CT
(41.529492, -73.127625)"
2016,Salem,24,13,"Salem, CT
(41.487106, -72.274406)"
2015,Kent,23,16,"Kent, CT
(41.724646, -73.477079)"
2014,Putnam,87,54,"Putnam, CT
(41.914993, -71.911904)"
2015,Waterbury,1778,1068,"Waterbury, CT
(41.554261, -73.043069)"
2016,Seymour,107,73,"Seymour, CT
(41.395594, -73.073581)"
2012,Colebrook,0,0,"Colebrook, CT
(41.991381, -73.097592)"
2014,Norwalk,307,197,"Norwalk, CT
(41.11805, -73.412906)"
2013,Trumbull,114,75,"Trumbull, CT
(41.257379, -73.219533)"
2012,Clinton,59,35,"Clinton, CT
(41.278677, -72.528067)"
2012,Brookfield,83,40,"Brookfield, CT
(41.482447, -73.409561)"
2016,Madison,46,29,"Madison, CT
(41.271447, -72.60086)"
2015,Enfield,327,198,"Enfield, CT
(41.976501, -72.591985)"
2012,Bethlehem,18,10,"Bethlehem, CT
(41.639532, -73.20938)"
2016,Darien,14,10,"Darien, CT
(41.080002, -73.467371)"
2015,Wolcott,132,81,"Wolcott, CT
(41.601588, -72.986414)"
2013,Weston,8,6,"Weston, CT
(41.200939, -73.380701)"
2016,North Stonington,,,"North Stonington, CT
(41.43775, -71.879919)"
2013,Windham,513,292,"Windham, CT
(41.699744, -72.157703)"
2016,North Canaan,,,"North Canaan, CT
(42.025992, -73.32814)"
2014,Avon,6,,"Avon, CT
(41.809641, -72.830547)"
2015,Hamden,279,204,"Hamden, CT
(41.382918, -72.907743)"
2013,Thomaston,52,28,"Thomaston, CT
(41.674124, -73.073189)"
2012,New Canaan,,,"New Canaan, CT
(41.148498, -73.493705)"
2016,Newington,154,84,"Newington, CT
(41.698002, -72.723843)"
2014,Farmington,59,38,"Farmington, CT
(41.72651, -72.824947)"
2016,Wallingford,244,150,"Wallingford, CT
(41.454408, -72.818414)"
2014,Canterbury,32,16,"Canterbury, CT
(41.698351, -71.971118)"
2012,Simsbury,40,21,"Simsbury, CT
(41.875874, -72.801404)"
2016,Branford,214,137,"Branford, CT
(41.279802, -72.81404)"
2015,Norwich,567,327,"Norwich, CT
(41.524304, -72.075821)"
2016,Willington,30,16,"Willington, CT
(41.87481, -72.262753)"
2015,Andover,17,10,"Andover, CT
(41.728789, -72.370309)"
2016,Portland,44,27,"Portland, CT
(41.581345, -72.634112)"
2013,Griswold,150,95,"Griswold, CT
(41.614599, -71.960584)"
2014,Stonington,73,46,"Stonington, CT
(41.337685, -71.907182)"
2015,Canaan,37,25,"Canaan, CT
(41.963458, -73.334414)"
2012,Suffield,15,10,"Suffield, CT
(41.983549, -72.663124)"
2016,Bridgeport,2055,1230,"Bridgeport, CT
(41.179195, -73.189476)"
2015,Burlington,44,22,"Burlington, CT
(41.769828, -72.962087)"
2015,Westbrook,36,27,"Westbrook, CT
(41.283357, -72.441654)"
2013,Union,0,0,"Union, CT
(41.99388, -72.155248)"
2013,Bridgeport,1569,944,"Bridgeport, CT
(41.179195, -73.189476)"
2016,Plainville,123,78,"Plainville, CT
(41.674474, -72.85835)"
2012,Westport,20,18,"Westport, CT
(41.14044, -73.353182)"
2014,East Haddam,39,24,"East Haddam, CT
(41.452557, -72.461201)"
2016,Naugatuck,320,183,"Naugatuck, CT
(41.491113, -73.056564)"
2016,Clinton,50,36,"Clinton, CT
(41.278677, -72.528067)"
2012,New London,444,266,"New London, CT
(41.355167, -72.099561)"
2013,Monroe,61,39,"Monroe, CT
(41.331612, -73.206797)"
2013,Brookfield,87,48,"Brookfield, CT
(41.482447, -73.409561)"
2013,Wolcott,117,72,"Wolcott, CT
(41.601588, -72.986414)"
2016,Bridgewater,10,6,"Bridgewater, CT
(41.535109, -73.366386)"
2015,Watertown,189,92,"Watertown, CT
(41.606284, -73.11839)"
2012,Hebron,22,11,"Hebron, CT
(41.658069, -72.366324)"
2014,Naugatuck,289,161,"Naugatuck, CT
(41.491113, -73.056564)"
2015,Bloomfield,48,24,"Bloomfield, CT
(41.830957, -72.737425)"
2014,Hebron,30,17,"Hebron, CT
(41.658069, -72.366324)"
2015,Bolton,24,16,"Bolton, CT
(41.770886, -72.443722)"
2014,East Granby,10,6,"East Granby, CT
(41.943168, -72.72611)"
2016,Warren,15,9,"Warren, CT
(41.744496, -73.348848)"
2016,Plymouth,127,77,"Plymouth, CT
(41.671982, -73.052909)"
2016,Washington,30,18,"Washington, CT
(41.631357, -73.310688)"
2016,Granby,24,14,"Granby, CT
(41.951103, -72.786055)"
2016,Goshen,15,,"Goshen, CT
(41.831925, -73.225323)"
2015,Seymour,126,71,"Seymour, CT
(41.395594, -73.073581)"
2015,Chester,,,"Chester, CT
(41.40159, -72.453465)"
2014,Bloomfield,42,27,"Bloomfield, CT
(41.830957, -72.737425)"
2013,Middlebury,26,14,"Middlebury, CT
(41.529492, -73.127625)"
2016,Missing Town,431,319,"Missing Town, CT
(41.968899, -72.794197)"
2014,Columbia,25,17,"Columbia, CT
(41.701926, -72.302082)"
2016,Montville,183,108,"Montville, CT
(41.45303, -72.136336)"
2016,Eastford,,,"Eastford, CT
(41.902117, -72.082503)"
2016,New Canaan,17,13,"New Canaan, CT
(41.148498, -73.493705)"
2012,Barkhamsted,18,10,"Barkhamsted, CT
(41.927066, -72.911918)"
2013,Darien,24,14,"Darien, CT
(41.080002, -73.467371)"
2016,Union,0,0,"Union, CT
(41.99388, -72.155248)"
2012,Washington,9,,"Washington, CT
(41.631357, -73.310688)"
2015,Vernon,168,96,"Vernon, CT
(41.818792, -72.479029)"
2015,Portland,64,38,"Portland, CT
(41.581345, -72.634112)"
2015,Shelton,295,167,"Shelton, CT
(41.316843, -73.092968)"
2013,Suffield,23,17,"Suffield, CT
(41.983549, -72.663124)"
2014,Branford,202,131,"Branford, CT
(41.279802, -72.81404)"
2016,Weston,6,6,"Weston, CT
(41.200939, -73.380701)"
2013,Lyme,0,0,"Lyme, CT
(41.3293, -72.306297)"
2012,Sharon,29,14,"Sharon, CT
(41.87943, -73.478873)"
2013,Bolton,14,8,"Bolton, CT
(41.770886, -72.443722)"
2013,Shelton,245,164,"Shelton, CT
(41.316843, -73.092968)"
2012,Montville,93,59,"Montville, CT
(41.45303, -72.136336)"
2015,Sterling,47,25,"Sterling, CT
(41.707458, -71.829067)"
2015,Ledyard,83,46,"Ledyard, CT
(41.445618, -72.018188)"
2013,Ellington,42,23,"Ellington, CT
(41.903847, -72.470262)"
2015,Voluntown,10,7,"Voluntown, CT
(41.573883, -71.862923)"
2016,Chester,14,8,"Chester, CT
(41.40159, -72.453465)"
2014,Chester,10,6,"Chester, CT
(41.40159, -72.453465)"
2015,Windham,697,383,"Windham, CT
(41.699744, -72.157703)"
2016,Franklin,10,,"Franklin, CT
(41.611549, -72.145949)"
2016,Rocky Hill,70,39,"Rocky Hill, CT
(41.667775, -72.636739)"
2014,West Haven,324,239,"West Haven, CT
(41.272336, -72.949817)"
2012,Franklin,6,6,"Franklin, CT
(41.611549, -72.145949)"
2014,Lyme,0,0,"Lyme, CT
(41.3293, -72.306297)"
2014,Missing Town,496,400,"Missing Town, CT
(41.968899, -72.794197)"
2012,Glastonbury,84,41,"Glastonbury, CT
(41.707618, -72.608041)"
2016,Shelton,284,178,"Shelton, CT
(41.316843, -73.092968)"
2015,Meriden,620,387,"Meriden, CT
(41.537589, -72.8011)"
2013,Killingly,174,120,"Killingly, CT
(41.803361, -71.885766)"
2015,Canton,22,15,"Canton, CT
(41.824474, -72.896794)"
2014,Essex,23,16,"Essex, CT
(41.353832, -72.396436)"
2015,Southington,263,167,"Southington, CT
(41.600428, -72.878105)"
2016,Hebron,31,16,"Hebron, CT
(41.658069, -72.366324)"
2015,Norfolk,19,8,"Norfolk, CT
(41.993599, -73.201621)"
2014,East Hampton,70,46,"East Hampton, CT
(41.575581, -72.502526)"
2016,New Milford,223,113,"New Milford, CT
(41.576633, -73.408713)"
2012,Scotland,,,"Scotland, CT
(41.6975, -72.119465)"
2013,Brooklyn,38,31,"Brooklyn, CT
(41.788252, -71.949628)"
2012,North Canaan,,,"North Canaan, CT
(42.025992, -73.32814)"
2014,New Haven,1430,970,"New Haven, CT
(41.308252, -72.924161)"
2015,East Granby,8,6,"East Granby, CT
(41.943168, -72.72611)"
2012,Southington,210,122,"Southington, CT
(41.600428, -72.878105)"
2015,Wallingford,295,214,"Wallingford, CT
(41.454408, -72.818414)"
2016,Wolcott,141,87,"Wolcott, CT
(41.601588, -72.986414)"
2016,Meriden,521,337,"Meriden, CT
(41.537589, -72.8011)"
2015,Stafford,62,42,"Stafford, CT
(41.98469, -72.290196)"
2012,Lyme,0,0,"Lyme, CT
(41.3293, -72.306297)"
2013,Guilford,94,66,"Guilford, CT
(41.281228, -72.681651)"
2013,Roxbury,7,,"Roxbury, CT
(41.556245, -73.309401)"
2014,Salisbury,18,12,"Salisbury, CT
(41.983411, -73.422268)"
2012,Ridgefield,44,17,"Ridgefield, CT
(41.281456, -73.49843)"
2014,Kent,22,20,"Kent, CT
(41.724646, -73.477079)"
2012,New Haven,1380,944,"New Haven, CT
(41.308252, -72.924161)"
2013,Clinton,62,42,"Clinton, CT
(41.278677, -72.528067)"
2016,Chaplin,22,16,"Chaplin, CT
(41.797715, -72.129312)"
2012,Ashford,20,13,"Ashford, CT
(41.871915, -72.124128)"
2013,Bloomfield,34,20,"Bloomfield, CT
(41.830957, -72.737425)"
2012,Griswold,123,72,"Griswold, CT
(41.614599, -71.960584)"
2012,Woodbridge,22,15,"Woodbridge, CT
(41.352933, -73.014356)"
2014,Ellington,45,27,"Ellington, CT
(41.903847, -72.470262)"
2016,North Haven,132,89,"North Haven, CT
(41.38864, -72.860826)"
2014,Stamford,310,197,"Stamford, CT
(41.051924, -73.539475)"
2015,North Haven,180,120,"North Haven, CT
(41.38864, -72.860826)"
2012,Portland,28,21,"Portland, CT
(41.581345, -72.634112)"
2015,Stamford,348,209,"Stamford, CT
(41.051924, -73.539475)"
2016,Woodbridge,15,10,"Woodbridge, CT
(41.352933, -73.014356)"
2012,Thompson,44,29,"Thompson, CT
(41.958546, -71.86272)"
2013,Thompson,66,36,"Thompson, CT
(41.958546, -71.86272)"
2015,Granby,21,13,"Granby, CT
(41.951103, -72.786055)"
2015,Prospect,72,41,"Prospect, CT
(41.502629, -72.979046)"
2014,Killingworth,27,19,"Killingworth, CT
(41.357274, -72.554824)"
2014,Bolton,20,10,"Bolton, CT
(41.770886, -72.443722)"
2014,Sherman,15,10,"Sherman, CT
(41.578959, -73.496536)"
2013,Portland,33,18,"Portland, CT
(41.581345, -72.634112)"
2014,East Lyme,128,75,"East Lyme, CT
(41.36677, -72.229584)"
2014,North Canaan,0,0,"North Canaan, CT
(42.025992, -73.32814)"
2015,Simsbury,45,25,"Simsbury, CT
(41.875874, -72.801404)"
2016,Salisbury,25,13,"Salisbury, CT
(41.983411, -73.422268)"
2012,Lebanon,53,38,"Lebanon, CT
(41.636294, -72.212599)"
2016,Scotland,8,,"Scotland, CT
(41.6975, -72.119465)"
2014,Oxford,73,50,"Oxford, CT
(41.434813, -73.117134)"
2014,New London,642,360,"New London, CT
(41.355167, -72.099561)"
2014,Waterbury,1420,888,"Waterbury, CT
(41.554261, -73.043069)"
2015,Berlin,107,69,"Berlin, CT
(41.626049, -72.749301)"
2015,New Milford,254,129,"New Milford, CT
(41.576633, -73.408713)"
2013,Stratford,281,192,"Stratford, CT
(41.200888, -73.131323)"
2015,Greenwich,67,41,"Greenwich, CT
(41.026526, -73.628549)"
2014,Canton,17,10,"Canton, CT
(41.824474, -72.896794)"
2012,West Haven,369,274,"West Haven, CT
(41.272336, -72.949817)"
2012,East Windsor,45,28,"East Windsor, CT
(41.899986, -72.58032)"
2016,Winchester,150,88,"Winchester, CT
(41.901973, -73.133851)"
2015,Cornwall,0,0,"Cornwall, CT
(41.844248, -73.33229)"
2016,Westport,43,32,"Westport, CT
(41.14044, -73.353182)"
2015,Guilford,83,57,"Guilford, CT
(41.281228, -72.681651)"
2016,Woodstock,35,17,"Woodstock, CT
(41.950652, -71.977285)"
2015,Bristol,750,455,"Bristol, CT
(41.673037, -72.945791)"
2016,Ridgefield,49,28,"Ridgefield, CT
(41.281456, -73.49843)"
2012,Wallingford,213,143,"Wallingford, CT
(41.454408, -72.818414)"
2012,Hartland,10,,"Hartland, CT
(41.991104, -72.997217)"
2015,North Canaan,,,"North Canaan, CT
(42.025992, -73.32814)"
2015,Deep River,25,15,"Deep River, CT
(41.385619, -72.435658)"
2016,Sterling,61,28,"Sterling, CT
(41.707458, -71.829067)"
2012,Newtown,88,52,"Newtown, CT
(41.413516, -73.308842)"
2016,Bolton,17,11,"Bolton, CT
(41.770886, -72.443722)"
2015,Coventry,69,42,"Coventry, CT
(41.774042, -72.309999)"
2013,Somers,26,20,"Somers, CT
(41.985524, -72.447503)"
2016,Colebrook,,,"Colebrook, CT
(41.991381, -73.097592)"
2013,Colchester,156,79,"Colchester, CT
(41.57348, -72.332129)"
2016,West Hartford,115,73,"West Hartford, CT
(41.762008, -72.741807)"
2013,New Fairfield,42,26,"New Fairfield, CT
(41.466074, -73.485613)"
2012,Goshen,,,"Goshen, CT
(41.831925, -73.225323)"
2015,Bethlehem,24,8,"Bethlehem, CT
(41.639532, -73.20938)"
2013,Plainville,83,57,"Plainville, CT
(41.674474, -72.85835)"
2014,Monroe,57,37,"Monroe, CT
(41.331612, -73.206797)"
2012,Trumbull,87,61,"Trumbull, CT
(41.257379, -73.219533)"
2013,Chester,11,9,"Chester, CT
(41.40159, -72.453465)"
2013,Willington,23,17,"Willington, CT
(41.87481, -72.262753)"
2013,Old Lyme,27,16,"Old Lyme, CT
(41.313043, -72.331317)"
2012,Enfield,231,131,"Enfield, CT
(41.976501, -72.591985)"
2014,Wilton,9,7,"Wilton, CT
(41.19444, -73.432397)"
2012,East Lyme,84,55,"East Lyme, CT
(41.36677, -72.229584)"
2013,Deep River,26,15,"Deep River, CT
(41.385619, -72.435658)"
2015,Cromwell,69,42,"Cromwell, CT
(41.595859, -72.645562)"
2012,Ellington,35,25,"Ellington, CT
(41.903847, -72.470262)"
2014,Orange,33,22,"Orange, CT
(41.282731, -73.028426)"
2012,Sterling,27,22,"Sterling, CT
(41.707458, -71.829067)"
2014,New Milford,191,115,"New Milford, CT
(41.576633, -73.408713)"
2016,Bozrah,13,10,"Bozrah, CT
(41.544947, -72.175639)"
2013,Fairfield,129,77,"Fairfield, CT
(41.143322, -73.249812)"
2013,Rocky Hill,50,31,"Rocky Hill, CT
(41.667775, -72.636739)"
2013,Mansfield,53,35,"Mansfield, CT
(41.765926, -72.233779)"
2016,Canton,11,6,"Canton, CT
(41.824474, -72.896794)"
2012,Rocky Hill,49,26,"Rocky Hill, CT
(41.667775, -72.636739)"
2015,Orange,53,37,"Orange, CT
(41.282731, -73.028426)"
2012,Essex,17,11,"Essex, CT
(41.353832, -72.396436)"
2012,Groton,135,80,"Groton, CT
(41.343693, -72.07877)"
2016,Bethany,22,10,"Bethany, CT
(41.428339, -72.994834)"
2015,Darien,10,8,"Darien, CT
(41.080002, -73.467371)"
2014,Weston,9,6,"Weston, CT
(41.200939, -73.380701)"
2014,Wallingford,228,161,"Wallingford, CT
(41.454408, -72.818414)"
2012,Weston,11,,"Weston, CT
(41.200939, -73.380701)"
2014,Clinton,79,52,"Clinton, CT
(41.278677, -72.528067)"
2016,Cromwell,88,42,"Cromwell, CT
(41.595859, -72.645562)"
2014,Montville,186,122,"Montville, CT
(41.45303, -72.136336)"
2016,Putnam,125,69,"Putnam, CT
(41.914993, -71.911904)"
2013,Hartland,,,"Hartland, CT
(41.991104, -72.997217)"
2013,Ashford,27,19,"Ashford, CT
(41.871915, -72.124128)"
2016,Somers,46,33,"Somers, CT
(41.985524, -72.447503)"
2016,Sherman,11,7,"Sherman, CT
(41.578959, -73.496536)"
2012,Sherman,7,6,"Sherman, CT
(41.578959, -73.496536)"
2012,Monroe,55,29,"Monroe, CT
(41.331612, -73.206797)"
2012,Columbia,12,11,"Columbia, CT
(41.701926, -72.302082)"
2014,Windsor Locks,77,53,"Windsor Locks, CT
(41.924953, -72.627177)"
2013,East Haven,431,297,"East Haven, CT
(41.277971, -72.871954)"
2014,Stratford,286,195,"Stratford, CT
(41.200888, -73.131323)"
2013,Eastford,11,7,"Eastford, CT
(41.902117, -72.082503)"
2013,Berlin,109,64,"Berlin, CT
(41.626049, -72.749301)"
2012,Marlborough,38,16,"Marlborough, CT
(41.632043, -72.461309)"
2015,Ansonia,164,105,"Ansonia, CT
(41.34198, -73.078296)"
2016,East Haven,449,294,"East Haven, CT
(41.277971, -72.871954)"
2015,Washington,19,15,"Washington, CT
(41.631357, -73.310688)"
2012,Hampton,10,8,"Hampton, CT
(41.73871, -72.067063)"
2014,Granby,22,12,"Granby, CT
(41.951103, -72.786055)"
2015,East Haven,415,299,"East Haven, CT
(41.277971, -72.871954)"
2016,Harwinton,28,10,"Harwinton, CT
(41.771487, -73.059941)"
2012,Bozrah,22,13,"Bozrah, CT
(41.544947, -72.175639)"
2012,Winchester,100,62,"Winchester, CT
(41.901973, -73.133851)"
2016,Ansonia,174,105,"Ansonia, CT
(41.34198, -73.078296)"
2016,Windsor,81,45,"Windsor, CT
(41.852781, -72.64379)"
2013,New Britain,703,433,"New Britain, CT
(41.667528, -72.783437)"
2016,Coventry,72,42,"Coventry, CT
(41.774042, -72.309999)"
2016,Trumbull,147,79,"Trumbull, CT
(41.257379, -73.219533)"
2012,Canton,24,15,"Canton, CT
(41.824474, -72.896794)"
2016,Columbia,24,16,"Columbia, CT
(41.701926, -72.302082)"
2016,Glastonbury,85,45,"Glastonbury, CT
(41.707618, -72.608041)"
2016,Ellington,45,26,"Ellington, CT
(41.903847, -72.470262)"
2012,North Stonington,10,9,"North Stonington, CT
(41.43775, -71.879919)"
2012,Hamden,245,157,"Hamden, CT
(41.382918, -72.907743)"
2012,Wilton,15,10,"Wilton, CT
(41.19444, -73.432397)"
2012,Seymour,86,65,"Seymour, CT
(41.395594, -73.073581)"
2012,Salem,25,9,"Salem, CT
(41.487106, -72.274406)"
2013,Putnam,63,42,"Putnam, CT
(41.914993, -71.911904)"
2015,Woodbury,28,16,"Woodbury, CT
(41.545058, -73.208654)"
2015,Sprague,45,28,"Sprague, CT
(41.640692, -72.066224)"
2015,South Windsor,64,38,"South Windsor, CT
(41.826827, -72.553262)"
2012,Somers,16,9,"Somers, CT
(41.985524, -72.447503)"
2016,Stratford,348,214,"Stratford, CT
(41.200888, -73.131323)"
2015,Ashford,33,23,"Ashford, CT
(41.871915, -72.124128)"
2015,Goshen,,,"Goshen, CT
(41.831925, -73.225323)"
2013,Granby,18,8,"Granby, CT
(41.951103, -72.786055)"
2013,Hampton,27,12,"Hampton, CT
(41.73871, -72.067063)"
2014,Southington,222,132,"Southington, CT
(41.600428, -72.878105)"
2014,Newtown,109,65,"Newtown, CT
(41.413516, -73.308842)"
2014,Plymouth,106,68,"Plymouth, CT
(41.671982, -73.052909)"
2013,New Canaan,9,,"New Canaan, CT
(41.148498, -73.493705)"
2016,Prospect,69,36,"Prospect, CT
(41.502629, -72.979046)"
2013,Derby,90,53,"Derby, CT
(41.322959, -73.089594)"
2013,Newtown,90,52,"Newtown, CT
(41.413516, -73.308842)"
2016,Hampton,30,15,"Hampton, CT
(41.73871, -72.067063)"
2012,Milford,279,175,"Milford, CT
(41.224276, -73.057564)"
2013,Woodbury,31,23,"Woodbury, CT
(41.545058, -73.208654)"
2015,Danbury,656,355,"Danbury, CT
(41.393666, -73.451539)"
2014,Waterford,113,69,"Waterford, CT
(41.342158, -72.125831)"
2012,Bristol,521,311,"Bristol, CT
(41.673037, -72.945791)"
2014,Voluntown,24,13,"Voluntown, CT
(41.573883, -71.862923)"
2015,Hampton,25,13,"Hampton, CT
(41.73871, -72.067063)"
2015,New Haven,1623,1094,"New Haven, CT
(41.308252, -72.924161)"
2015,Southbury,70,45,"Southbury, CT
(41.466592, -73.203497)"
2012,Chester,10,7,"Chester, CT
(41.40159, -72.453465)"
2014,Seymour,133,89,"Seymour, CT
(41.395594, -73.073581)"
2015,Killingly,213,123,"Killingly, CT
(41.803361, -71.885766)"
2012,Waterford,110,64,"Waterford, CT
(41.342158, -72.125831)"
2012,Bridgewater,,,"Bridgewater, CT
(41.535109, -73.366386)"
2014,Cornwall,0,0,"Cornwall, CT
(41.844248, -73.33229)"
2013,Litchfield,60,35,"Litchfield, CT
(41.746861, -73.189234)"
2012,Berlin,75,50,"Berlin, CT
(41.626049, -72.749301)"
2016,Middlefield,27,16,"Middlefield, CT
(41.515997, -72.712263)"
2015,Stonington,65,39,"Stonington, CT
(41.337685, -71.907182)"
2013,Windsor,100,49,"Windsor, CT
(41.852781, -72.64379)"
2012,Tolland,44,28,"Tolland, CT
(41.872445, -72.369671)"
2015,Naugatuck,374,214,"Naugatuck, CT
(41.491113, -73.056564)"
2012,Ledyard,46,31,"Ledyard, CT
(41.445618, -72.018188)"
2015,New Canaan,20,11,"New Canaan, CT
(41.148498, -73.493705)"
2016,Stamford,342,214,"Stamford, CT
(41.051924, -73.539475)"
2015,Westport,49,27,"Westport, CT
(41.14044, -73.353182)"
2016,Sprague,48,24,"Sprague, CT
(41.640692, -72.066224)"
2013,East Lyme,89,60,"East Lyme, CT
(41.36677, -72.229584)"
2012,Roxbury,7,,"Roxbury, CT
(41.556245, -73.309401)"
2013,Old Saybrook,35,20,"Old Saybrook, CT
(41.295121, -72.382292)"
2012,Union,0,0,"Union, CT
(41.99388, -72.155248)"
2016,Voluntown,11,8,"Voluntown, CT
(41.573883, -71.862923)"
2015,Old Lyme,31,21,"Old Lyme, CT
(41.313043, -72.331317)"
2016,New Hartford,52,25,"New Hartford, CT
(41.879454, -72.976047)"
2014,Wethersfield,112,63,"Wethersfield, CT
(41.712487, -72.663607)"
2016,Roxbury,11,7,"Roxbury, CT
(41.556245, -73.309401)"
2016,East Windsor,56,40,"East Windsor, CT
(41.899986, -72.58032)"
2015,Union,,,"Union, CT
(41.99388, -72.155248)"
2013,Southington,210,130,"Southington, CT
(41.600428, -72.878105)"
2012,Norwalk,279,166,"Norwalk, CT
(41.11805, -73.412906)"
2012,Bolton,12,10,"Bolton, CT
(41.770886, -72.443722)"
2015,North Stonington,9,7,"North Stonington, CT
(41.43775, -71.879919)"
2012,Madison,40,29,"Madison, CT
(41.271447, -72.60086)"
2013,Harwinton,31,15,"Harwinton, CT
(41.771487, -73.059941)"
2015,Brooklyn,81,53,"Brooklyn, CT
(41.788252, -71.949628)"
2013,Middletown,336,219,"Middletown, CT
(41.544654, -72.651713)"
2014,Somers,57,29,"Somers, CT
(41.985524, -72.447503)"
2016,Westbrook,16,10,"Westbrook, CT
(41.283357, -72.441654)"
2015,Milford,275,159,"Milford, CT
(41.224276, -73.057564)"
2012,Darien,18,11,"Darien, CT
(41.080002, -73.467371)"
2012,Danbury,442,253,"Danbury, CT
(41.393666, -73.451539)"
2013,Voluntown,21,11,"Voluntown, CT
(41.573883, -71.862923)"
2013,Columbia,12,10,"Columbia, CT
(41.701926, -72.302082)"
2012,Killingworth,10,9,"Killingworth, CT
(41.357274, -72.554824)"
2013,Washington,24,10,"Washington, CT
(41.631357, -73.310688)"
2014,Ledyard,74,44,"Ledyard, CT
(41.445618, -72.018188)"
2016,North Branford,62,48,"North Branford, CT
(41.324919, -72.770281)"
2014,Groton,171,114,"Groton, CT
(41.343693, -72.07877)"
2014,Milford,271,188,"Milford, CT
(41.224276, -73.057564)"
2014,Woodbury,20,16,"Woodbury, CT
(41.545058, -73.208654)"
2012,Windham,427,255,"Windham, CT
(41.699744, -72.157703)"
2012,Warren,,,"Warren, CT
(41.744496, -73.348848)"
2015,East Haddam,44,23,"East Haddam, CT
(41.452557, -72.461201)"
2014,Bethlehem,16,9,"Bethlehem, CT
(41.639532, -73.20938)"
2013,North Haven,181,121,"North Haven, CT
(41.38864, -72.860826)"
2015,Farmington,56,32,"Farmington, CT
(41.72651, -72.824947)"
2014,Old Saybrook,32,21,"Old Saybrook, CT
(41.295121, -72.382292)"
2014,Warren,10,,"Warren, CT
(41.744496, -73.348848)"
2016,Durham,22,10,"Durham, CT
(41.485881, -72.681864)"
2015,Harwinton,24,15,"Harwinton, CT
(41.771487, -73.059941)"
2015,Lisbon,,,"Lisbon, CT
(41.614599, -71.960584)"
2014,Windsor,69,48,"Windsor, CT
(41.852781, -72.64379)"
2016,Fairfield,118,76,"Fairfield, CT
(41.143322, -73.249812)"
2013,Sherman,6,,"Sherman, CT
(41.578959, -73.496536)"
2016,Orange,43,25,"Orange, CT
(41.282731, -73.028426)"
2014,Wolcott,123,66,"Wolcott, CT
(41.601588, -72.986414)"
2014,Eastford,,,"Eastford, CT
(41.902117, -72.082503)"
2013,Scotland,,,"Scotland, CT
(41.6975, -72.119465)"
2015,Windsor Locks,89,52,"Windsor Locks, CT
(41.924953, -72.627177)"
2014,Greenwich,61,45,"Greenwich, CT
(41.026526, -73.628549)"
2012,Morris,9,7,"Morris, CT
(41.684395, -73.196691)"
2016,Guilford,95,46,"Guilford, CT
(41.281228, -72.681651)"
2015,Litchfield,65,34,"Litchfield, CT
(41.746861, -73.189234)"
2012,New Hartford,16,8,"New Hartford, CT
(41.879454, -72.976047)"
2016,Preston,26,15,"Preston, CT
(41.530948, -71.97251)"
2012,Hartford,2273,1241,"Hartford, CT
(41.765775, -72.673356)"
2012,Haddam,19,13,"Haddam, CT
(41.477264, -72.512292)"
2013,Orange,41,31,"Orange, CT
(41.282731, -73.028426)"
2013,Bethlehem,16,8,"Bethlehem, CT
(41.639532, -73.20938)"
2013,Cornwall,0,0,"Cornwall, CT
(41.844248, -73.33229)"
2013,Seymour,91,62,"Seymour, CT
(41.395594, -73.073581)"
2015,Newtown,140,81,"Newtown, CT
(41.413516, -73.308842)"
2014,Winchester,169,85,"Winchester, CT
(41.901973, -73.133851)"
2014,Guilford,62,45,"Guilford, CT
(41.281228, -72.681651)"
2013,Newington,112,68,"Newington, CT
(41.698002, -72.723843)"
2016,Ledyard,82,49,"Ledyard, CT
(41.445618, -72.018188)"
2013,Manchester,271,175,"Manchester, CT
(41.770668, -72.520868)"
2012,East Hartford,262,163,"East Hartford, CT
(41.769319, -72.643785)"
2015,Canterbury,43,20,"Canterbury, CT
(41.698351, -71.971118)"
2016,Windham,635,349,"Windham, CT
(41.699744, -72.157703)"
2013,Wallingford,281,198,"Wallingford, CT
(41.454408, -72.818414)"
2014,Stafford,75,49,"Stafford, CT
(41.98469, -72.290196)"
2013,Simsbury,33,17,"Simsbury, CT
(41.875874, -72.801404)"
2012,Watertown,132,74,"Watertown, CT
(41.606284, -73.11839)"
2014,Windham,566,338,"Windham, CT
(41.699744, -72.157703)"
2012,Litchfield,26,19,"Litchfield, CT
(41.746861, -73.189234)"
2013,Avon,10,7,"Avon, CT
(41.809641, -72.830547)"
2014,New Britain,761,472,"New Britain, CT
(41.667528, -72.783437)"
2013,Winchester,110,61,"Winchester, CT
(41.901973, -73.133851)"
2014,Bridgeport,1712,1039,"Bridgeport, CT
(41.179195, -73.189476)"
